IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,Listing_Year,Listing_Month
Vodafone Idea Ltd ,6.283330293570319,-0.47155745137076166,-0.5154119471921027,-0.4539425604513154,-0.57962967879999,-1.0806006748785186,-1.0050102106195462,-0.2802688890840606,-0.5511788412070854,-0.557825523319677,-0.47600773162881393,2024,4
Bharti Hexacom Ltd ,1.0846309007585462,0.019202026210868764,-0.46858804399195914,-0.39619242356310225,-0.14149884220051084,0.6394387688277212,0.7802590355800952,0.45335738971893136,0.8860263782132217,0.877488760853851,0.4718110295420035,2024,4
SRM Contractors Ltd ,-0.48531949948380226,0.19360284668650787,1.0293371973497238,0.9384102163561285,0.9145231444842029,-0.46827894089364963,-0.49335473505371785,-0.34140441231764324,-0.1621823585332541,-0.17078238781167954,0.16776240224531452,2024,4
Krystal Integrated Services Ltd ,-0.42095789650918836,-0.6334558536816317,-0.22391666248134962,-0.38137694341900563,-0.45202779824274364,1.0856028463543845,0.8758641432210339,-0.21443063329404852,-0.03864214140575266,-0.05735284246204072,-0.36987609510921887,2024,3
Popular Vehicles & Services Ltd ,-0.30678347334159256,-0.718282387052723,-0.5408390119971885,-0.4500119228620653,-0.6751913791297233,-0.20673448165388153,-0.33241146339686106,-0.5972330633874046,-0.457313108394632,-0.464291685814942,-0.55051584273196,2024,3
Gopal Snacks Ltd,-0.28843178040303297,-0.472507002117453,-0.47606228206146556,-0.3605143285222166,-0.530079167517906,0.11942684398629991,-0.19308743718644772,-0.9640462027889004,-0.24934339614481796,-0.255274979803874,-0.35036206601077585,2024,3
J.G.Chemicals Ltd ,-0.4394914018855293,-0.24160791221368033,-0.20618366627722637,0.04555077012108362,-0.18061766689689288,-0.43443201087438554,-0.5269846724148521,-0.7069634897040913,-0.1574642396881837,-0.16217167779973615,0.13413348253416368,2024,3
R K Swamy Ltd ,-0.3742017979264062,-0.42376339712063193,-0.2938960483281996,0.5471605978569251,-0.21489320853562763,-0.22827343712068596,-0.4284969987143875,-0.9571488617061373,-0.4276800110869969,-0.43466753156231375,-0.4987612438186981,2024,3
Mukka Proteins Ltd ,-0.44979031893402127,2.2460567856597953,1.289030331843165,1.2876322483241196,1.8537474974325763,-1.028291783030565,-0.9281417823655249,1.2261731064921684,-0.5337880206921856,-0.5403060402569152,-0.3271072052472163,2024,3
Indus Infra Trust ,0.4122998691203076,-0.6082927588943117,-0.4948944309228692,-0.48175938031370086,-0.5488934593956898,-0.8067482410862907,-0.7912198945380498,-0.5339029316274881,-0.464324067450377,-0.4710808994782051,-0.2772808700788598,2024,3
Exicom Tele-Systems Ltd ,-0.3721412569648837,1.1781287125476245,0.5770725173007625,3.1341248450587686,1.7149688098192206,-0.6775145082854641,-0.3996713381191296,2.128470726319096,-0.4415446585703178,-0.4483039155908432,-0.3297682092151858,2024,3
Platinum Industries Ltd ,-0.4455025756096767,1.6402434092707334,0.49361019219127344,1.0599576248852476,1.14662817101607,-0.5882816927801315,-0.48614831990490337,0.4796926920349361,-0.3276890011774345,-0.33306115342138176,-0.08360605954055798,2024,3
